sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
0,0.084,0.048,0.066,0.036,0.0,0.006,0.0
1,0.12,0.048,0.06,0.042,0.0,0.006,0.0
2,0.108,0.054,0.066,0.036,0.0,0.006,0.0
3,0.096,0.054,0.084,0.042,0.0,0.006,0.0
4,0.078,0.048,0.066,0.036,0.0,0.006,0.0
5,0.084,0.054,0.078,0.048,0.0,0.006,0.0
6,0.114,0.048,0.078,0.042,0.0,0.006,0.0
7,0.084,0.048,0.06,0.042,0.0,0.0,0.0
8,0.096,0.066,0.066,0.042,0.0,0.0,0.0
9,0.084,0.048,0.06,0.042,0.0,0.006,0.0
10,0.084,0.048,0.078,0.042,0.0,0.006,0.0
11,0.084,0.048,0.06,0.042,0.0,0.006,0.0
12,0.084,0.048,0.066,0.048,0.0,0.0,0.0
13,0.114,0.048,0.066,0.036,0.0,0.006,0.0
14,0.096,0.066,0.066,0.042,0.0,0.0,0.0
15,0.072,0.066,0.066,0.036,0.0,0.0,0.0
16,0.078,0.048,0.06,0.03,0.0,0.0,0.0
17,0.06,0.042,0.048,0.024,0.0,0.0,0.0
18,0.054,0.036,0.054,0.012,0.0,0.0,0.0
19,0.042,0.018,0.03,0.012,0.0,0.0,0.0
20,0.03,0.012,0.018,0.0,0.0,0.0,0.0
21,0.012,0.006,0.006,0.0,0.0,0.0,0.0
22,0.006,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.006,0.0,0.0
26,0.0,0.006,0.0,0.006,0.006,0.0,0.006
27,0.0,0.006,0.0,0.006,0.006,0.006,0.006
28,0.0,0.0,0.0,0.006,0.006,0.006,0.006
29,0.006,0.0,0.0,0.006,0.006,0.006,0.012
30,0.006,0.0,0.0,0.006,0.006,0.006,0.012
31,0.006,0.0,0.0,0.006,0.012,0.006,0.012
32,0.0,0.0,0.0,0.0,0.018,0.0,0.018
33,0.006,0.0,0.0,0.006,0.018,0.0,0.012
34,0.0,0.0,0.0,0.0,0.018,0.0,0.012
35,0.006,0.0,0.0,0.006,0.024,0.0,0.012
36,0.0,0.006,0.0,0.006,0.018,0.006,0.0
37,0.006,0.0,0.0,0.006,0.012,0.0,0.006
38,0.006,0.0,0.0,0.0,0.018,0.0,0.006
39,0.0,0.006,0.0,0.0,0.018,0.0,0.006
40,0.0,0.0,0.0,0.006,0.018,0.0,0.006
41,0.0,0.0,0.0,0.006,0.018,0.0,0.006
42,0.0,0.0,0.0,0.006,0.018,0.0,0.006
43,0.0,0.0,0.0,0.0,0.018,0.006,0.006
44,0.006,0.0,0.0,0.006,0.012,0.0,0.012
45,0.0,0.0,0.0,0.006,0.012,0.006,0.006
46,0.0,0.0,0.0,0.006,0.012,0.006,0.012
47,0.006,0.0,0.0,0.0,0.018,0.0,0.006
48,0.0,0.0,0.0,0.0,0.018,0.0,0.006
49,0.0,0.006,0.0,0.0,0.018,0.0,0.006
50,0.0,0.0,0.0,0.006,0.018,0.0,0.006
51,0.0,0.0,0.0,0.006,0.012,0.006,0.012
52,0.0,0.0,0.0,0.006,0.012,0.006,0.006
53,0.0,0.0,0.0,0.006,0.018,0.0,0.006
54,0.0,0.0,0.0,0.0,0.018,0.006,0.012
55,0.0,0.0,0.0,0.006,0.018,0.0,0.012
56,0.0,0.0,0.0,0.006,0.012,0.0,0.006
57,0.0,0.0,0.0,0.0,0.012,0.006,0.012
58,0.0,0.0,0.0,0.006,0.018,0.006,0.012
59,0.0,0.0,0.0,0.0,0.024,0.0,0.006
60,0.0,0.0,0.0,0.006,0.018,0.006,0.012
61,0.0,0.006,0.0,0.0,0.018,0.006,0.012
62,0.0,0.0,0.0,0.006,0.018,0.0,0.012
63,0.0,0.0,0.0,0.0,0.018,0.0,0.006
64,0.0,0.0,0.0,0.006,0.024,0.0,0.006
65,0.0,0.0,0.0,0.006,0.024,0.006,0.012
66,0.0,0.0,0.0,0.0,0.024,0.0,0.012
67,0.0,0.0,0.0,0.006,0.018,0.0,0.012
68,0.0,0.0,0.0,0.006,0.018,0.0,0.012
69,0.0,0.0,0.0,0.006,0.024,0.006,0.006
70,0.0,0.0,0.0,0.006,0.024,0.006,0.006
71,0.0,0.0,0.0,0.006,0.018,0.0,0.012
72,0.0,0.0,0.0,0.006,0.024,0.0,0.006
73,0.0,0.0,0.0,0.006,0.018,0.006,0.006
74,0.0,0.0,0.0,0.006,0.018,0.0,0.012
75,0.0,0.0,0.0,0.006,0.024,0.0,0.012
