sample,shoulder_pitch_joint,shoulder_yaw_joint,shoulder_roll_joint,elbow_pitch_joint,wrist_roll_joint,wrist_pitch_joint,wrist_yaw_joint
0,0.0,0.006,0.006,0.006,0.006,0.006,0.006
1,0.006,0.0,0.006,0.006,0.006,0.006,0.012
2,0.0,0.006,0.006,0.006,0.0,0.006,0.018
3,0.0,0.0,0.006,0.012,0.0,0.0,0.012
4,0.006,0.0,0.0,0.006,0.0,0.006,0.012
5,0.012,0.006,0.006,0.0,0.006,0.006,0.006
6,0.006,0.006,0.0,0.006,0.006,0.006,0.0
7,0.0,0.006,0.006,0.006,0.006,0.006,0.006
8,0.0,0.006,0.006,0.0,0.006,0.006,0.0
9,0.0,0.006,0.006,0.0,0.0,0.006,0.006
10,0.006,0.006,0.0,0.0,0.006,0.006,0.006
11,0.006,0.006,0.0,0.006,0.006,0.006,0.006
12,0.006,0.006,0.0,0.006,0.006,0.006,0.006
13,0.006,0.0,0.012,0.006,0.006,0.012,0.006
14,0.0,0.006,0.006,0.006,0.0,0.006,0.006
15,0.006,0.006,0.006,0.006,0.006,0.006,0.006
16,0.0,0.0,0.006,0.006,0.006,0.006,0.006
17,0.0,0.006,0.006,0.006,0.006,0.006,0.006
18,0.006,0.006,0.006,0.0,0.012,0.006,0.006
19,0.0,0.006,0.006,0.006,0.006,0.006,0.006
20,0.0,0.006,0.006,0.0,0.012,0.006,0.0
21,0.006,0.006,0.006,0.012,0.012,0.012,0.006
22,0.006,0.006,0.0,0.006,0.0,0.012,0.006
23,0.0,0.006,0.006,0.006,0.006,0.012,0.0
24,0.006,0.006,0.006,0.006,0.012,0.006,0.006
25,0.0,0.006,0.012,0.0,0.012,0.006,0.012
26,0.0,0.012,0.012,0.0,0.006,0.006,0.012
27,0.006,0.0,0.006,0.006,0.006,0.006,0.006
28,0.0,0.006,0.006,0.006,0.006,0.006,0.006
29,0.006,0.006,0.012,0.006,0.006,0.006,0.006
30,0.0,0.006,0.006,0.006,0.006,0.012,0.006
31,0.0,0.006,0.006,0.006,0.006,0.012,0.012
32,0.0,0.012,0.012,0.006,0.006,0.012,0.006
33,0.006,0.012,0.006,0.006,0.006,0.012,0.006
34,0.006,0.012,0.006,0.006,0.006,0.006,0.006
35,0.0,0.006,0.006,0.006,0.006,0.012,0.006
36,0.0,0.012,0.006,0.012,0.006,0.018,0.006
37,0.006,0.006,0.012,0.006,0.012,0.018,0.012
38,0.006,0.012,0.012,0.006,0.012,0.012,0.006
39,0.012,0.012,0.012,0.012,0.006,0.012,0.012
40,0.006,0.006,0.012,0.018,0.012,0.012,0.006
41,0.012,0.012,0.012,0.012,0.012,0.012,0.006
42,0.012,0.012,0.012,0.012,0.012,0.012,0.006
43,0.012,0.018,0.012,0.012,0.012,0.012,0.012
44,0.012,0.006,0.012,0.012,0.012,0.012,0.006
45,0.012,0.006,0.018,0.012,0.012,0.012,0.006
46,0.012,0.012,0.012,0.012,0.012,0.012,0.006
47,0.012,0.012,0.012,0.012,0.012,0.012,0.012
48,0.012,0.012,0.012,0.012,0.006,0.012,0.006
49,0.006,0.012,0.012,0.012,0.006,0.018,0.012
50,0.012,0.012,0.012,0.012,0.012,0.018,0.006
51,0.006,0.012,0.012,0.012,0.012,0.012,0.006
52,0.012,0.006,0.012,0.012,0.006,0.012,0.006
53,0.018,0.012,0.012,0.018,0.018,0.018,0.012
54,0.012,0.006,0.012,0.012,0.018,0.018,0.012
55,0.012,0.006,0.012,0.012,0.018,0.012,0.012
56,0.006,0.018,0.018,0.018,0.018,0.018,0.006
57,0.012,0.012,0.012,0.012,0.012,0.018,0.012
58,0.006,0.012,0.018,0.018,0.012,0.012,0.006
59,0.012,0.006,0.012,0.018,0.012,0.018,0.012
60,0.006,0.012,0.018,0.024,0.006,0.018,0.018
61,0.006,0.006,0.012,0.024,0.012,0.018,0.012
62,0.012,0.012,0.012,0.018,0.012,0.018,0.012
63,0.012,0.012,0.012,0.012,0.012,0.012,0.012
64,0.012,0.006,0.018,0.018,0.012,0.018,0.018
65,0.012,0.012,0.018,0.018,0.012,0.024,0.018
66,0.012,0.012,0.012,0.024,0.018,0.024,0.024
67,0.006,0.006,0.012,0.018,0.006,0.024,0.018
68,0.006,0.012,0.012,0.024,0.0,0.018,0.006
69,0.012,0.012,0.012,0.024,0.006,0.018,0.012
70,0.012,0.012,0.012,0.03,0.018,0.018,0.012
71,0.006,0.012,0.006,0.03,0.018,0.024,0.012
72,0.006,0.006,0.012,0.03,0.018,0.024,0.012
73,0.012,0.006,0.018,0.036,0.018,0.024,0.012
74,0.006,0.006,0.018,0.048,0.012,0.024,0.018
75,0.006,0.006,0.012,0.036,0.012,0.024,0.012
76,0.006,0.012,0.012,0.024,0.012,0.03,0.024
77,0.006,0.012,0.012,0.036,0.018,0.03,0.024
78,0.0,0.012,0.018,0.036,0.012,0.036,0.018
79,0.0,0.006,0.018,0.036,0.018,0.024,0.024
80,0.0,0.012,0.018,0.042,0.018,0.03,0.024
81,0.0,0.018,0.012,0.042,0.018,0.042,0.018
82,0.006,0.018,0.012,0.042,0.018,0.042,0.018
83,0.006,0.018,0.024,0.048,0.012,0.042,0.024
84,0.006,0.018,0.018,0.048,0.006,0.036,0.018
85,0.012,0.018,0.012,0.054,0.018,0.042,0.018
86,0.006,0.024,0.018,0.06,0.03,0.042,0.018
87,0.012,0.024,0.018,0.054,0.03,0.048,0.018
88,0.006,0.018,0.024,0.054,0.03,0.054,0.018
89,0.012,0.024,0.024,0.06,0.018,0.042,0.012
90,0.006,0.024,0.03,0.06,0.018,0.048,0.024
91,0.012,0.024,0.018,0.06,0.018,0.042,0.024
92,0.006,0.03,0.03,0.066,0.018,0.054,0.024
93,0.006,0.024,0.03,0.066,0.012,0.054,0.024
94,0.012,0.03,0.036,0.06,0.012,0.048,0.018
95,0.018,0.036,0.03,0.06,0.018,0.042,0.018
96,0.018,0.042,0.03,0.054,0.024,0.042,0.018
97,0.012,0.03,0.03,0.066,0.018,0.072,0.012
98,0.012,0.036,0.036,0.072,0.018,0.048,0.012
99,0.018,0.042,0.048,0.06,0.036,0.054,0.018
100,0.018,0.048,0.036,0.072,0.024,0.06,0.024
101,0.012,0.06,0.048,0.066,0.018,0.054,0.024
102,0.012,0.06,0.048,0.072,0.024,0.06,0.018
103,0.012,0.066,0.048,0.096,0.024,0.06,0.024
104,0.024,0.084,0.042,0.066,0.024,0.066,0.024
105,0.018,0.096,0.048,0.072,0.03,0.054,0.018
106,0.024,0.084,0.06,0.078,0.024,0.096,0.018
107,0.03,0.12,0.054,0.078,0.024,0.072,0.024
108,0.036,0.084,0.066,0.084,0.024,0.072,0.018
109,0.03,0.12,0.066,0.078,0.024,0.066,0.018
110,0.03,0.126,0.06,0.126,0.03,0.06,0.024
111,0.036,0.096,0.066,0.096,0.03,0.078,0.024
112,0.036,0.084,0.066,0.096,0.024,0.078,0.012
113,0.036,0.084,0.066,0.102,0.03,0.084,0.018
114,0.036,0.114,0.066,0.084,0.036,0.084,0.024
115,0.042,0.102,0.054,0.096,0.024,0.09,0.024
116,0.036,0.09,0.108,0.102,0.024,0.084,0.018
117,0.042,0.084,0.066,0.108,0.03,0.096,0.024
118,0.042,0.09,0.066,0.084,0.024,0.084,0.024
119,0.036,0.096,0.084,0.108,0.024,0.078,0.03
120,0.036,0.084,0.078,0.114,0.03,0.078,0.018
